STATE_ABBR,REPORTING_YEAR,CATEGORY,SUM_REL_EST,AVG_REL_EST,MIN_REL_EST,MAX_REL_EST,STD_REL_EST,VAR_REL_EST
DC,2006,AIR STACK,0.0942,0.02355,0.0004,0.0813,0.038801246,0.001505537
AL,2006,POTW NON METALS,5950734.477,60108.42906,0.1,2062182,248292.5018,61649166427
MA,2006,WATER,16034.64276,186.4493344,0.0000006,3366.4,535.4052492,286658.7809
VA,2006,ENERGY RECOVERY,11733485.75,51462.6568,0.2,1980468,190793.7216,36402244186
AZ,2006,WASTE TREATMENT,3043071.1,46816.47846,0.15,1536346,209886.2368,44052232408
MD,2006,ENERGY RECOVERY,1118318.991,18037.40308,0.0212,228070,37642.75202,1416976780
UT,2006,OTH DISP,48198812.46,1095427.556,0.1,45989811,6926814.309,4.79808E+13
MT,2006,LAND TREA,979.4,108.8222222,1,270,110.9753776,12315.53444
KY,2006,UNINJ IIV,55753.27,5575.327,3.62,21136.08,6902.545568,47645135.32
KS,2006,UNINJ IIV,500,250,250,250,0,0
NE,2006,SI 5.5.3B,3425.379382,118.1165304,0.0001545,1675,318.396153,101376.1103
KY,2006,TOTAL OFFSITE RELEASE,12401842.89,5736.282557,0,3546807.96,85988.70629,7394057609
WA,2006,TOTAL OFFSITE RELEASE,2815740.791,2394.337407,0,470000,19690.65705,387721975
TN,2006,POTW RELEASE,24536.85086,10.49480362,0,2200,89.50875871,8011.817886
WV,2006,POTW RELEASE,13419.28107,12.73176572,0,5351,200.2793195,40111.80582
NH,2006,POTW RELEASE,1373.3027,3.633075926,0,250,25.77350012,664.2733084
MI,2006,POTW TREATMENT,8927091.035,2501.987398,0,797628,27159.7397,737651460.7
MN,2006,TOTAL ONSITE RELEASE,24989920.93,15638.24839,0,6447110,171883.3017,29543869417
UT,2006,TOTAL ON OFFSITE RELEASE,202061586,220350.6936,0,97615110,3584742.965,1.28504E+13
KS,2006,TOTAL ON OFFSITE RELEASE,27820928.1,23359.30151,0,1727004.88,124191.1386,15423438898
MP,2006,TOTAL ON OFFSITE RELEASE,6778.642,233.7462759,0,2245,499.1271562,249127.9181
NJ,2006,WASTE TREATMENT,12199425.03,31041.79396,0.002,1258911,145064.0977,21043592441
KY,2006,POTW NON METALS,22439946.06,135180.398,1.12,15561644,1214297.58,1.47452E+12
TX,2006,RECYCLING,157019538.7,112317.2666,0.0005,12842360,609396.3028,3.71364E+11
IL,2006,ENERGY RECOVERY,21271022.11,34088.17646,0.001,3099192,169521.7491,28737623402
NV,2006,AIR STACK,633147.3874,2473.231982,0.0000099,156098,14657.33565,214837488.4
PR,2006,AIR FUG,692372.292,3050.098203,0.062,65102,8250.594861,68072315.56
UT,2006,WASTE TREATMENT,399521.373,4076.748704,0.03,70428,9822.423824,96480009.78
UT,2006,RCRA C,5409063.7,104020.4558,10.2,2212417,314476.3801,98895393647
MS,2006,OTH LANDF,4972416.571,57154.21346,0.0000012,720000,140509.4496,19742905430
MA,2006,RECYCLING,19733709.83,47436.80247,0.000547,2770200,183530.2327,33683346299
WV,2006,WASTE TREATMENT,4100794.123,28878.83185,1,641425,87523.65836,7660390773
AL,2006,OTH DISP,673579.9006,10864.19195,0.0006395,190000,27835.67979,774825069.4
IN,2006,SI 5.5.3B,9944027.39,71539.7654,2.1,780000,112127.9802,12572683954
OH,2006,LAND TREA,1041922.01,19294.85203,0.009702,130000,25871.34506,669326495.2
FL,2006,SI 5.5.3B,699326.7063,6415.841342,0.0001051,390000,37940.63649,1439491898
TN,2006,SI 5.5.3B,28826871.51,369575.2758,0.0000135,16362942,1946944.337,3.79059E+12
MS,2006,POTW NON METALS,5533183.651,108493.7971,0.2,3445372,486973.3273,2.37143E+11
ME,2006,AIR FUG,1304166.593,7809.380795,0.002,709491,56682.9888,3212961220
TN,2006,WASTE TREATMENT,3268956.406,20689.59751,0.059,420000,59514.59708,3541987265
VI,2006,WATER,220822.0012,16986.30779,0.0012128,195580,53784.62743,2892786148
WY,2006,RECYCLING,165738.72,6374.566154,0.02,51000,12069.76233,145679162.6
MP,2006,AIR STACK,3111.383,239.3371538,0.001,1740,465.7695731,216941.2953
VI,2006,WASTE TREATMENT,39158.7,3012.207692,0.2,19879.3,5800.024863,33640288.41
GU,2006,WATER,76068.52017,15213.70403,0.00021,76068,34018.58563,1157264168
ND,2006,UNINJ IIV,2853.5,951.1666667,3.5,2200,1128.795413,1274179.083
AZ,2006,RCRA C,9085,3028.333333,2640,3685,571.8464246,327008.3333
WA,2006,UNINJ IIV,1,1,1,1,0,0
AS,2006,AIR STACK,5.06,5.06,5.06,5.06,0,0
ID,2006,TOTAL OFFSITE RELEASE,1593883.632,4540.979008,0,796920.5208,45497.86113,2070055367
AK,2006,POTW RELEASE,0,0,0,0,0,0
SD,2006,POTW RELEASE,299.291,1.039204861,0,161.3,10.6972251,114.4306249
CO,2006,TOTAL ONSITE RELEASE,18495790.45,24368.63037,0,3279370.8,196233.5496,38507605991
IA,2006,TOTAL ONSITE RELEASE,34251253.21,19913.51931,0,3975320,137409.6724,18881418058
TX,2006,TOTAL ON OFFSITE RELEASE,244557092.7,29503.8114,0,8656983,210115.0133,44148318817
GU,2006,TOTAL ON OFFSITE RELEASE,206772.4288,6081.542023,0,81393,18701.53895,349747559.1
PA,2006,AIR FUG,5332000.039,2567.164198,0.0000001,558284,19133.72849,366099566
AL,2006,WASTE TREATMENT,13829231.5,58847.79362,0.001,1764177,212555.4581,45179822763
CT,2006,AIR STACK,2215654.396,4764.848164,0.0001786,305327,24531.28004,601783700.4
FL,2006,WASTE TREATMENT,1410268.798,11192.60951,0.1377,885900,80904.17037,6545484784
PA,2006,WATER,11932874.62,14972.23917,0.0000026,2900000,148804.5893,22142805797
MI,2006,OTH DISP,327144.04,4956.727879,0.3,83000,15711.09341,246838456.1
ID,2006,WATER,3487448.702,79260.19778,0.0009702,3088073,465078.8322,2.16298E+11
KY,2006,RECYCLING,82767445.35,153273.0469,0.1,9140000,679154.6563,4.61251E+11
NJ,2006,RECYCLING,21105893,64742.00307,0.0003,3049400,257780.1748,66450618514
TN,2006,WATER,2818190.901,6924.301967,0.0000271,579000,36027.53654,1297983389
MI,2006,ENERGY RECOVERY,78268424.89,144140.7457,0.01,7103320,699580.9671,4.89414E+11
MI,2006,POTW NON METALS,21841756.79,75316.40272,0.009,1595256,206246.9681,42537811863
WV,2006,OTH LANDF,8626977.06,84578.20647,4,750000,129914.8845,16877877203
AZ,2006,LAND TREA,178448,89224,517,177931,125450.6425,15737863698
ND,2006,AIR STACK,3321354.794,20889.02386,0.0000882,467285,59836.18732,3580369313
RI,2006,ENERGY RECOVERY,288437.01,13735.09571,0.01,77518,23035.01998,530612145.3
LA,2006,ENERGY RECOVERY,22008092.08,62880.26309,0.1,4193221,298652.3336,89193216392
KS,2006,WATER,1403071,18221.7013,0.01,1350365,153868.8054,23675609263
VA,2006,RECYCLING,29433984.6,87601.14466,0.06,6200000,465992.2408,2.17149E+11
MS,2006,RECYCLING,21340766.81,117904.789,0.0345,3187818,390568.5326,1.52544E+11
