Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2006','Mississippi','All Types of Cancer','481.4','473.5','489.4','14294','2904978'
'2006','Missouri','All Types of Cancer','486.7','481.2','492.2','30896','5842704'
'2006','Montana','All Types of Cancer','485.8','472.6','499.3','5274','952692'
'2006','Nebraska','All Types of Cancer','487.8','477.8','498','9208','1772693'
'2006','New Hampshire','All Types of Cancer','520.8','508.8','533.1','7302','1308389'
'2006','New Jersey','All Types of Cancer','524.1','519.4','528.8','48782','8661679'
'2006','New Mexico','All Types of Cancer','417.6','408.7','426.7','8509','1962137'
'2006','New York','All Types of Cancer','512.4','509.3','515.6','104916','19104631'
'2006','North Carolina','All Types of Cancer','489.2','484.7','493.7','45241','8917270'
'2006','Ohio','All Types of Cancer','485.1','481.3','489','60863','11481213'
'2006','Oklahoma','All Types of Cancer','495.4','488.4','502.6','18990','3594090'
'2006','Pennsylvania','All Types of Cancer','513.6','509.9','517.3','76022','12510809'
'2006','Rhode Island','All Types of Cancer','529.1','516','542.6','6299','1063096'
'2006','South Carolina','All Types of Cancer','487.2','480.8','493.6','22622','4357847'
'2006','Utah','All Types of Cancer','423.9','414.7','433.2','8320','2525507'
'2006','Vermont','All Types of Cancer','529.9','512.8','547.5','3724','622892'
'2006','Washington','All Types of Cancer','497.6','492.1','503.2','31891','6370753'
'2006','West Virginia','All Types of Cancer','505.6','496.2','515.1','11304','1827912'
'2006','Wisconsin','All Types of Cancer','483.1','477.5','488.7','28916','5577655'
'2006','Alabama','All Types of Cancer','465.4','459.4','471.4','23386','4628981'
'2006','Alaska','All Types of Cancer','488.9','468.2','510.3','2510','675302'
'2006','Arizona','All Types of Cancer','422.5','417.4','427.7','26375','6029141'
'2006','Arkansas','All Types of Cancer','462.1','454.5','469.7','14440','2821761'
'2006','Connecticut','All Types of Cancer','525.8','518.6','533.1','20584','3517460'
'2006','Delaware','All Types of Cancer','541','526.1','556.1','5090','859268'
'2006','District of Columbia','All Types of Cancer','491.8','473.4','510.6','2769','570681'
'2006','Florida','All Types of Cancer','480.8','477.9','483.7','108040','18166990'
'2006','Georgia','All Types of Cancer','475.4','470.7','480.2','39384','9155813'
'2006','Hawaii','All Types of Cancer','428.2','417.5','439.1','6207','1309731'
'2006','Idaho','All Types of Cancer','474.1','462.8','485.7','6782','1468669'
'2006','Illinois','All Types of Cancer','501.2','497.3','505.1','63912','12643955'
'2006','Indiana','All Types of Cancer','490','484.7','495.5','32018','6332669'
'2006','Iowa','All Types of Cancer','491.6','484.1','499.2','16787','2982644'
'2006','Kansas','All Types of Cancer','471.8','463.9','479.8','13684','2762931'
'2006','Kentucky','All Types of Cancer','534.5','527.7','541.4','23991','4219239'
'2006','Louisiana','All Types of Cancer','494.8','488.2','501.5','21622','4302665'
'2006','Maine','All Types of Cancer','545.4','533.9','557.2','8640','1323619'
'2006','Maryland','All Types of Cancer','459.6','454','465.3','26090','5627367'
'2006','Massachusetts','All Types of Cancer','529.8','524.4','535.3','37109','6410084'
'2006','Michigan','All Types of Cancer','504.9','500.6','509.3','53578','10036081'
'2007','Nevada','All Types of Cancer','445.3','437','453.8','11285','2601072'
'2007','Wyoming','All Types of Cancer','436.4','419','454.3','2457','534876'
'2007','California','All Types of Cancer','456.6','454.3','458.9','156465','36250311'
'2007','Colorado','All Types of Cancer','457.5','451.2','463.9','20724','4803868'
'2007','Hawaii','All Types of Cancer','435.3','424.6','446.2','6422','1315675'
'2007','Louisiana','All Types of Cancer','502.9','496.3','509.6','22509','4375581'
'2007','Maine','All Types of Cancer','529.2','517.9','540.7','8566','1327040'
'2007','Maryland','All Types of Cancer','484','478.2','489.7','28005','5653408'
'2007','Massachusetts','All Types of Cancer','523.4','518.1','528.8','37207','6431559'
'2007','Michigan','All Types of Cancer','517.4','513.1','521.8','55868','10001284'
'2007','Minnesota','All Types of Cancer','498.2','492.2','504.2','26893','5207203'
'2007','Mississippi','All Types of Cancer','496.3','488.3','504.3','15043','2928350'
'2007','Missouri','All Types of Cancer','483.5','478.1','488.9','31231','5887612'
'2007','Nebraska','All Types of Cancer','497.5','487.5','507.7','9530','1783440'
'2007','New Hampshire','All Types of Cancer','519','507.2','531.1','7466','1312540'
'2007','New Jersey','All Types of Cancer','524.2','519.6','528.9','49427','8677885'
'2007','New York','All Types of Cancer','514.9','511.8','518','106761','19132335'
'2007','North Carolina','All Types of Cancer','493.2','488.7','497.7','47172','9118037'
'2007','North Dakota','All Types of Cancer','487.6','471.6','504','3610','652822'
'2007','Ohio','All Types of Cancer','483.6','479.8','487.5','61637','11500468'
'2007','Oklahoma','All Types of Cancer','507','499.9','514.2','19784','3634349'
'2007','Pennsylvania','All Types of Cancer','516.2','512.5','519.9','77326','12563937'
'2007','Rhode Island','All Types of Cancer','534.1','520.9','547.6','6378','1057315'
'2007','South Carolina','All Types of Cancer','490.8','484.5','497.2','23598','4444110'
'2007','Tennessee','All Types of Cancer','485.2','479.8','490.6','32229','6175727'
'2007','Vermont','All Types of Cancer','502.2','485.7','519.2','3607','623481'
'2007','West Virginia','All Types of Cancer','510.8','501.4','520.3','11611','1834052'
'2007','Wisconsin','All Types of Cancer','486.3','480.8','491.9','29652','5610775'
'2007','Montana','All Types of Cancer','479.5','466.6','492.7','5393','964706'
'2007','New Mexico','All Types of Cancer','420.4','411.5','429.4','8803','1990070'
'2007','Oregon','All Types of Cancer','471.2','464.5','478','19402','3722417'
'2007','South Dakota','All Types of Cancer','471.4','457','486.1','4172','791623'
'2007','Texas','All Types of Cancer','466.8','463.9','469.7','99241','23831983'
'2007','Utah','All Types of Cancer','419.9','410.9','429','8530','2597746'
'2007','Virginia','All Types of Cancer','472.5','467.7','477.4','37336','7751000'
'2007','Washington','All Types of Cancer','476.2','470.9','481.6','31394','6461587'
'2007','Alabama','All Types of Cancer','474','468','480','24244','4672840'
'2007','Alaska','All Types of Cancer','473.7','453.7','494.4','2526','680300'
'2007','Arizona','All Types of Cancer','424.8','419.7','429.9','27382','6167681'
'2007','Arkansas','All Types of Cancer','470.6','463','478.3','14941','2848650'
'2007','Connecticut','All Types of Cancer','520.2','513','527.4','20647','3527270'
'2007','Delaware','All Types of Cancer','532.4','517.8','547.2','5173','871749'
'2007','District of Columbia','All Types of Cancer','527.4','508.5','546.9','2993','574404'
'2007','Florida','All Types of Cancer','483.3','480.4','486.2','110650','18367842'
'2007','Georgia','All Types of Cancer','492.7','487.9','497.5','42222','9349988'
'2007','Idaho','All Types of Cancer','485.7','474.4','497.1','7192','1505105'
'2007','Illinois','All Types of Cancer','502.8','498.9','506.7','65113','12695866'
'2007','Indiana','All Types of Cancer','483.3','477.9','488.6','32141','6379599'
'2007','Iowa','All Types of Cancer','488.4','481','496','16879','2999212'
'2007','Kansas','All Types of Cancer','486.5','478.4','494.6','14318','2783785'
'2007','Kentucky','All Types of Cancer','535.9','529.1','542.7','24563','4256672'
'2008','California','All Types of Cancer','452.2','449.9','454.4','158776','36604337'
'2008','Colorado','All Types of Cancer','448.2','442.1','454.5','21004','4889730'
'2008','Hawaii','All Types of Cancer','439.9','429.2','450.7','6656','1332213'
'2008','Texas','All Types of Cancer','456.3','453.4','459.1','100010','24309039'
'2008','Wyoming','All Types of Cancer','439.1','421.9','456.9','2545','546043'
'2008','Alabama','All Types of Cancer','485.9','479.8','492','25362','4718206'
'2008','Alaska','All Types of Cancer','482.7','462.9','503','2687','687455'
'2008','Connecticut','All Types of Cancer','513.2','506.1','520.3','20763','3545579'
'2008','Delaware','All Types of Cancer','530.3','515.9','544.9','5281','883874'
'2008','District of Columbia','All Types of Cancer','481.8','463.7','500.4','2754','580236'
'2008','Florida','All Types of Cancer','483.8','481','486.7','113079','18527305'
'2008','Georgia','All Types of Cancer','487.7','483','492.4','43177','9504843'
'2008','Illinois','All Types of Cancer','505.2','501.4','509.1','66527','12747038'
'2008','Iowa','All Types of Cancer','486','478.6','493.5','16975','3016734'
'2008','Kansas','All Types of Cancer','486.4','478.5','494.5','14540','2808076'
'2008','Kentucky','All Types of Cancer','529.3','522.6','536','24740','4289878'
'2008','Louisiana','All Types of Cancer','502.7','496.1','509.3','23015','4435586'
'2008','Maine','All Types of Cancer','513.9','502.8','525.1','8491','1330509'
'2008','Maryland','All Types of Cancer','484.1','478.4','489.8','28558','5684965'
'2008','Massachusetts','All Types of Cancer','522','516.7','527.4','37742','6468967'
'2008','Michigan','All Types of Cancer','490.5','486.3','494.7','53662','9946889'
'2008','Minnesota','All Types of Cancer','490.1','484.3','496.1','27084','5247018'
'2008','Mississippi','All Types of Cancer','499.8','491.8','507.8','15372','2947806'
'2008','Nebraska','All Types of Cancer','484.7','474.9','494.7','9435','1796378'
'2008','New Hampshire','All Types of Cancer','526.6','514.7','538.7','7745','1315906'
'2008','New Jersey','All Types of Cancer','515.6','511','520.2','49347','8711090'
'2008','New York','All Types of Cancer','516.5','513.4','519.6','108496','19212436'
'2008','North Carolina','All Types of Cancer','488.8','484.4','493.2','48206','9309449'
'2008','Ohio','All Types of Cancer','489.6','485.7','493.4','63340','11515391'
'2008','Oregon','All Types of Cancer','483.5','476.8','490.3','20421','3768748'
'2008','Pennsylvania','All Types of Cancer','511.5','507.8','515.1','77468','12612285'
'2008','Rhode Island','All Types of Cancer','521','508','534.3','6292','1055003'
'2008','Tennessee','All Types of Cancer','485.8','480.5','491.2','33076','6247411'
'2008','Washington','All Types of Cancer','492.9','487.5','498.3','33326','6562231'
'2008','West Virginia','All Types of Cancer','494.6','485.4','503.9','11359','1840310'
'2008','Wisconsin','All Types of Cancer','485.4','479.9','491','30152','5640996'
'2008','Arizona','All Types of Cancer','414.3','409.4','419.3','27364','6280362'
'2008','Arkansas','All Types of Cancer','459.4','452','466.9','14890','2874554'
'2008','Idaho','All Types of Cancer','468.9','457.9','480','7172','1534320'
'2008','Indiana','All Types of Cancer','479.4','474.2','484.7','32555','6424806'
'2008','Missouri','All Types of Cancer','474','468.7','479.3','31190','5923916'
'2008','Montana','All Types of Cancer','472.2','459.5','485.2','5424','976415'
'2008','Nevada','All Types of Cancer','459.8','451.4','468.3','12014','2653630'
'2008','New Mexico','All Types of Cancer','420.7','411.9','429.6','9026','2010662'
'2008','North Dakota','All Types of Cancer','469.8','454.2','485.8','3543','657569'
'2008','Oklahoma','All Types of Cancer','475.5','468.7','482.4','18886','3668976'
'2008','South Carolina','All Types of Cancer','478.1','472','484.3','23737','4528996'
'2008','South Dakota','All Types of Cancer','460.2','446.1','474.7','4139','799124'
'2008','Utah','All Types of Cancer','421.9','413.1','430.9','8864','2663029'
'2008','Vermont','All Types of Cancer','479.9','463.9','496.4','3536','624151'
'2008','Virginia','All Types of Cancer','463.6','458.8','468.3','37433','7833496'
'2009','Texas','All Types of Cancer','448.3','445.5','451.1','101374','24801761'
'2009','Arkansas','All Types of Cancer','457.6','450.3','465.1','15062','2896843'
'2009','California','All Types of Cancer','447.3','445.1','449.5','160868','36961229'
'2009','Colorado','All Types of Cancer','446.5','440.4','452.6','21689','4972195'
'2009','Hawaii','All Types of Cancer','440.2','429.6','451','6793','1346717'
'2009','Kansas','All Types of Cancer','473.2','465.4','481.1','14405','2832704'
'2009','Maryland','All Types of Cancer','471.5','466','477.1','28609','5730388'
'2009','Minnesota','All Types of Cancer','479.3','473.5','485.1','27039','5281203'
'2009','Nebraska','All Types of Cancer','458.4','448.9','468.1','9048','1812683'
'2009','Nevada','All Types of Cancer','461.9','453.6','470.3','12420','2684665'
'2009','North Dakota','All Types of Cancer','460.1','444.7','475.9','3496','664968'
'2009','Oklahoma','All Types of Cancer','469.7','463','476.5','19037','3717572'
'2009','Oregon','All Types of Cancer','462.8','456.3','469.4','19968','3808600'
'2009','South Carolina','All Types of Cancer','473.2','467.2','479.4','24090','4589872'
'2009','South Dakota','All Types of Cancer','469.5','455.4','484.1','4285','807067'
'2009','Virginia','All Types of Cancer','459.5','454.9','464.3','38031','7925937'
'2009','Alabama','All Types of Cancer','477.8','471.9','483.8','25342','4757938'
'2009','Alaska','All Types of Cancer','467.2','448','487','2688','698895'
'2009','Florida','All Types of Cancer','473.2','470.4','476','112722','18652644'
'2009','Idaho','All Types of Cancer','468.9','458.2','479.9','7390','1554439'
'2009','Indiana','All Types of Cancer','472.2','467','477.4','32610','6459325'
'2009','Connecticut','All Types of Cancer','516.8','509.7','523.9','21176','3561807'
'2009','Delaware','All Types of Cancer','520.9','506.8','535.2','5319','891730'
'2009','District of Columbia','All Types of Cancer','487.7','469.6','506.3','2840','592228'
'2009','Georgia','All Types of Cancer','482.9','478.3','487.6','43914','9620846'
'2009','Illinois','All Types of Cancer','500.1','496.3','504','66864','12796778'
'2009','New Mexico','All Types of Cancer','412.3','403.8','421.1','9085','2036802'
'2009','Iowa','All Types of Cancer','498.1','490.6','505.6','17634','3032870'
'2009','Kentucky','All Types of Cancer','524.3','517.7','530.9','24963','4317074'
'2009','Louisiana','All Types of Cancer','505.6','499.1','512.1','23722','4491648'
'2009','Maine','All Types of Cancer','500.4','489.5','511.5','8380','1329590'
'2009','Massachusetts','All Types of Cancer','510.8','505.6','516.1','37572','6517613'
'2009','Michigan','All Types of Cancer','487.1','482.9','491.3','54154','9901591'
'2009','Mississippi','All Types of Cancer','484.3','476.5','492.2','15099','2958774'
'2009','Missouri','All Types of Cancer','482.3','477','487.7','32296','5961088'
'2009','Montana','All Types of Cancer','480.7','468','493.7','5655','983982'
'2009','New Hampshire','All Types of Cancer','513.1','501.5','525','7720','1316102'
'2009','New Jersey','All Types of Cancer','513.7','509.2','518.3','49892','8755602'
'2009','New York','All Types of Cancer','512.1','509.1','515.2','109158','19307066'
'2009','North Carolina','All Types of Cancer','496.7','492.3','501.1','50210','9449566'
'2009','Ohio','All Types of Cancer','488.9','485.1','492.8','64043','11528896'
'2009','Pennsylvania','All Types of Cancer','509.7','506','513.3','78037','12666858'
'2009','Rhode Island','All Types of Cancer','514.4','501.4','527.5','6259','1053646'
'2009','Tennessee','All Types of Cancer','492.3','487.1','497.7','34187','6306019'
'2009','Utah','All Types of Cancer','421.3','412.5','430.1','9136','2723421'
'2009','Vermont','All Types of Cancer','500','483.7','516.7','3731','624817'
'2009','Washington','All Types of Cancer','491.8','486.5','497.2','34257','6667426'
'2009','West Virginia','All Types of Cancer','491.9','482.7','501.2','11437','1847775'
'2009','Wisconsin','All Types of Cancer','480.3','474.9','485.9','30340','5669264'
'2009','Wyoming','All Types of Cancer','427.8','410.9','445.1','2540','559851'
'2009','Arizona','All Types of Cancer','421.8','416.9','426.8','28717','6343154'
'2010','Oklahoma','All Types of Cancer','454.6','448','461.2','18734','3759529'
'2010','Oregon','All Types of Cancer','450.6','444.2','457','19847','3837073'
'2010','South Dakota','All Types of Cancer','453.4','439.5','467.6','4221','816227'
'2010','Wyoming','All Types of Cancer','434.4','417.6','451.7','2659','564376'
'2010','Arkansas','All Types of Cancer','456.4','449.1','463.8','15285','2921737'
'2010','California','All Types of Cancer','439.4','437.3','441.6','162114','37327690'
'2010','Missouri','All Types of Cancer','464','458.9','469.3','31589','5995681'
'2010','Montana','All Types of Cancer','477.1','464.5','490.1','5684','990507'
'2010','Nebraska','All Types of Cancer','468','458.5','477.7','9402','1829956'
'2010','North Dakota','All Types of Cancer','465.6','450.3','481.4','3611','674518'
'2010','Ohio','All Types of Cancer','466.2','462.5','470','62025','11539282'
'2010','Rhode Island','All Types of Cancer','475.2','462.8','487.8','5836','1053169'
'2010','South Carolina','All Types of Cancer','477.2','471.2','483.3','24915','4635834'
'2010','Wisconsin','All Types of Cancer','479.3','473.8','484.7','30768','5690403'
'2010','New Hampshire','All Types of Cancer','506.2','494.7','517.8','7809','1316700'
'2010','New Jersey','All Types of Cancer','500.2','495.7','504.7','49380','8803708'
'2010','New York','All Types of Cancer','495','492','498','107026','19405185'
'2010','North Carolina','All Types of Cancer','483.8','479.5','488.1','50247','9574247'
'2010','Pennsylvania','All Types of Cancer','506.7','503.1','510.4','78544','12711063'
'2010','Tennessee','All Types of Cancer','480.2','475','485.4','34094','6355882'
'2010','Vermont','All Types of Cancer','483.8','467.9','500.1','3678','625842'
'2010','Washington','All Types of Cancer','482.1','476.9','487.3','34472','6741386'
'2010','West Virginia','All Types of Cancer','481.4','472.4','490.6','11319','1854315'
'2010','Connecticut','All Types of Cancer','502.4','495.4','509.4','20895','3580171'
'2010','Delaware','All Types of Cancer','511.5','497.7','525.7','5322','899712'
'2010','District of Columbia','All Types of Cancer','501.3','483.1','520','2978','605040'
'2010','New Mexico','All Types of Cancer','399.2','390.9','407.7','9058','2064607'
'2010','Nevada','All Types of Cancer','433.7','425.8','441.8','11934','2702797'
'2010','Texas','All Types of Cancer','431.1','428.4','433.8','100257','25241648'
'2010','Utah','All Types of Cancer','426.1','417.4','434.9','9530','2775260'
'2010','Virginia','All Types of Cancer','431.1','426.6','435.6','36606','8025206'
'2010','Alabama','All Types of Cancer','467.8','462','473.7','25377','4785579'
'2010','Alaska','All Types of Cancer','469.7','450.9','489.1','2815','714015'
'2010','Arizona','All Types of Cancer','406.1','401.3','410.9','28394','6407002'
'2010','Colorado','All Types of Cancer','430.3','424.5','436.3','21498','5048029'
'2010','Florida','All Types of Cancer','465.5','462.8','468.3','113368','18846461'
'2010','Georgia','All Types of Cancer','462.6','458.2','467.1','43409','9712696'
'2010','Hawaii','All Types of Cancer','426.4','416.1','437','6743','1363817'
'2010','Idaho','All Types of Cancer','460.3','449.8','471.1','7468','1570912'
'2010','Illinois','All Types of Cancer','482.6','478.9','486.4','65588','12841196'
'2010','Indiana','All Types of Cancer','468.6','463.4','473.7','32899','6490029'
'2010','Iowa','All Types of Cancer','491.1','483.7','498.5','17585','3050223'
'2010','Kansas','All Types of Cancer','469','461.3','476.9','14450','2858403'
'2010','Kentucky','All Types of Cancer','528.1','521.5','534.7','25552','4347948'
'2010','Louisiana','All Types of Cancer','498.4','492','504.9','23819','4544871'
'2010','Maine','All Types of Cancer','495','484.2','505.9','8410','1327568'
'2010','Maryland','All Types of Cancer','469.8','464.3','475.4','28986','5788099'
'2010','Massachusetts','All Types of Cancer','477.8','472.8','482.9','35713','6564943'
'2010','Michigan','All Types of Cancer','490.6','486.4','494.8','55320','9876731'
'2010','Minnesota','All Types of Cancer','475.7','470','481.5','27278','5310711'
'2010','Mississippi','All Types of Cancer','487.8','480','495.6','15528','2970437'
'2011','Alaska','All Types of Cancer','447','429','465.6','2757','722259'
'2011','Arkansas','All Types of Cancer','448.5','441.3','455.8','15260','2938640'
'2011','Idaho','All Types of Cancer','457.8','447.3','468.4','7595','1583180'
'2011','Oklahoma','All Types of Cancer','454.9','448.4','461.5','19032','3785232'
'2011','Wyoming','All Types of Cancer','438.8','422','456.2','2705','567602'
'2011','Alabama','All Types of Cancer','459.4','453.6','465.2','25275','4798649'
'2011','Georgia','All Types of Cancer','471.9','467.5','476.4','45283','9810595'
'2011','Indiana','All Types of Cancer','465.3','460.3','470.5','33220','6515358'
'2011','Kansas','All Types of Cancer','475.6','467.8','483.4','14829','2868756'
'2011','Maryland','All Types of Cancer','460.6','455.2','466','29173','5843115'
'2011','Mississippi','All Types of Cancer','478.2','470.6','485.9','15483','2977452'
'2011','Missouri','All Types of Cancer','472.3','467.1','477.6','32638','6010280'
'2011','Montana','All Types of Cancer','476.1','463.6','488.9','5801','996866'
'2011','Nebraska','All Types of Cancer','464.5','455','474.2','9429','1841641'
'2011','North Dakota','All Types of Cancer','473.4','458','489.2','3746','684830'
'2011','Ohio','All Types of Cancer','473.7','470','477.5','63775','11543332'
'2011','Oregon','All Types of Cancer','462.6','456.2','469.1','20806','3865845'
'2011','South Carolina','All Types of Cancer','470.1','464.2','476','25120','4672744'
'2011','South Dakota','All Types of Cancer','479.7','465.5','494.2','4532','823338'
'2011','Tennessee','All Types of Cancer','477.3','472.2','482.5','34689','6396281'
'2011','Vermont','All Types of Cancer','475.7','460','491.9','3668','626210'
'2011','Washington','All Types of Cancer','480.1','475','485.3','35122','6819155'
'2011','Connecticut','All Types of Cancer','492.9','486.1','499.8','20814','3591927'
'2011','Delaware','All Types of Cancer','516','502.2','530.1','5515','907884'
'2011','District of Columbia','All Types of Cancer','524.7','506.2','543.7','3189','620336'
'2011','Florida','All Types of Cancer','481.6','478.8','484.3','120190','19097369'
'2011','Illinois','All Types of Cancer','484.5','480.8','488.2','66942','12862298'
'2011','Iowa','All Types of Cancer','486.7','479.4','494.1','17611','3063690'
'2011','Kentucky','All Types of Cancer','524.1','517.6','530.7','25798','4368505'
'2011','Louisiana','All Types of Cancer','498.1','491.8','504.6','24326','4574388'
'2011','Maine','All Types of Cancer','486.7','476.1','497.6','8381','1327968'
'2011','Massachusetts','All Types of Cancer','489.3','484.3','494.4','37218','6612178'
'2011','Michigan','All Types of Cancer','488.2','484.1','492.4','55981','9876199'
'2011','Minnesota','All Types of Cancer','481.4','475.7','487.2','28199','5345967'
'2011','New Hampshire','All Types of Cancer','517.5','505.9','529.2','8092','1318345'
'2011','New Jersey','All Types of Cancer','502.7','498.2','507.2','50325','8844694'
'2011','New York','All Types of Cancer','504.8','501.7','507.8','111012','19526372'
'2011','North Carolina','All Types of Cancer','481.3','477.1','485.6','51258','9662940'
'2011','Pennsylvania','All Types of Cancer','511.9','508.3','515.6','80246','12742811'
'2011','Rhode Island','All Types of Cancer','482','469.6','494.7','5973','1052154'
'2011','West Virginia','All Types of Cancer','495.6','486.4','504.8','11782','1854891'
'2011','Wisconsin','All Types of Cancer','487.5','482','492.9','31871','5705812'
'2011','New Mexico','All Types of Cancer','385','376.9','393.2','8930','2077744'
'2011','Arizona','All Types of Cancer','407','402.2','411.7','29222','6465488'
'2011','California','All Types of Cancer','429.1','427','431.2','162287','37672654'
'2011','Colorado','All Types of Cancer','425.7','420','431.6','21868','5116411'
'2011','Hawaii','All Types of Cancer','421.5','411.3','431.9','6807','1378323'
'2011','Nevada','All Types of Cancer','433.3','425.5','441.2','12284','2718170'
'2011','Texas','All Types of Cancer','423.4','420.7','426','101660','25644424'
'2011','Utah','All Types of Cancer','426.2','417.6','434.9','9771','2815430'
'2011','Virginia','All Types of Cancer','432.5','428','437','37558','8107548'
'2012','Alabama','All Types of Cancer','456.5','450.8','462.3','25509','4813946'
'2012','Arkansas','All Types of Cancer','456.3','449','463.6','15707','2949208'
'2012','Idaho','All Types of Cancer','446.8','436.6','457.2','7598','1594673'
'2012','Indiana','All Types of Cancer','456.9','451.9','461.9','33117','6535665'
'2012','Maryland','All Types of Cancer','449.2','444','454.5','29122','5891680'
'2012','Montana','All Types of Cancer','452','439.9','464.4','5621','1003522'
'2012','Nebraska','All Types of Cancer','448.4','439.1','457.8','9285','1854862'
'2012','Ohio','All Types of Cancer','456.6','453','460.3','62368','11546969'
'2012','Oklahoma','All Types of Cancer','454.6','448.1','461.1','19277','3815298'
'2012','Oregon','All Types of Cancer','441.2','435','447.5','20354','3893920'
'2012','South Dakota','All Types of Cancer','455.4','441.6','469.5','4354','832576'
'2012','Florida','All Types of Cancer','458.3','455.7','461','117265','19341327'
'2012','Georgia','All Types of Cancer','470.1','465.7','474.4','46639','9911171'
'2012','Illinois','All Types of Cancer','468','464.4','471.7','65875','12878494'
'2012','Iowa','All Types of Cancer','471.8','464.7','479.1','17302','3074386'
'2012','Kansas','All Types of Cancer','473.9','466.2','481.7','15047','2885316'
'2012','Massachusetts','All Types of Cancer','472.1','467.1','477','36553','6659627'
'2012','Michigan','All Types of Cancer','464.1','460.1','468.2','54107','9886610'
'2012','Minnesota','All Types of Cancer','467','461.5','472.6','28041','5377695'
'2012','Mississippi','All Types of Cancer','471','463.4','478.6','15509','2982963'
'2012','Missouri','All Types of Cancer','465.6','460.5','470.8','32699','6023267'
'2012','North Carolina','All Types of Cancer','465.4','461.3','469.5','50827','9755299'
'2012','North Dakota','All Types of Cancer','471.8','456.5','487.6','3762','701380'
'2012','South Carolina','All Types of Cancer','466.6','460.8','472.5','25786','4719009'
'2012','Tennessee','All Types of Cancer','469.5','464.5','474.5','34764','6450632'
'2012','Vermont','All Types of Cancer','462.6','447.2','478.4','3644','625606'
'2012','Washington','All Types of Cancer','467.3','462.4','472.4','35112','6890899'
'2012','West Virginia','All Types of Cancer','479.7','470.8','488.8','11533','1855360'
'2012','Wisconsin','All Types of Cancer','469.5','464.2','474.9','31257','5721075'
'2012','Connecticut','All Types of Cancer','484.4','477.6','491.2','20775','3597705'
'2012','Delaware','All Types of Cancer','503.6','490.2','517.3','5538','916868'
'2012','District of Columbia','All Types of Cancer','490.4','472.8','508.5','3072','635630'
'2012','Kentucky','All Types of Cancer','525.4','519','531.9','26370','4383673'
'2012','Louisiana','All Types of Cancer','489.3','483','495.6','24378','4602681'
'2012','Maine','All Types of Cancer','482.9','472.4','493.6','8546','1328101'
'2012','New Hampshire','All Types of Cancer','492.1','480.9','503.4','7871','1320923'
'2012','New Jersey','All Types of Cancer','489.3','484.9','493.7','49911','8882095'
'2012','New York','All Types of Cancer','484','481.1','487','108229','19625409'
'2012','Pennsylvania','All Types of Cancer','489.1','485.6','492.6','77619','12768034'
'2012','Rhode Island','All Types of Cancer','494.9','482.4','507.7','6256','1052761'
'2012','New Mexico','All Types of Cancer','379','371','387.1','8909','2083590'
'2012','Arizona','All Types of Cancer','392.5','387.9','397.1','29017','6544211'
'2012','Wyoming','All Types of Cancer','401.1','385.2','417.5','2548','576608'
'2012','Colorado','All Types of Cancer','414.1','408.6','419.8','22043','5186330'
'2012','Hawaii','All Types of Cancer','416.4','406.3','426.6','6876','1392772'
'2012','Alaska','All Types of Cancer','417.8','400.8','435.3','2698','730825'
'2012','California','All Types of Cancer','418.9','416.8','421','162433','38019006'
'2012','Nevada','All Types of Cancer','408.6','401.1','416.1','12039','2752410'
'2012','Texas','All Types of Cancer','418','415.5','420.7','103408','26078327'
'2012','Utah','All Types of Cancer','413.2','404.9','421.7','9777','2854222'
'2012','Virginia','All Types of Cancer','419.9','415.6','424.3','37309','8188656'
'2013','Washington','All Types of Cancer','457.4','452.6','462.4','35294','6963410'
'2013','Arkansas','All Types of Cancer','466','458.8','473.4','16260','2956780'
'2013','Connecticut','All Types of Cancer','477.3','470.7','484','20780','3602470'
'2013','Florida','All Types of Cancer','466.2','463.5','468.8','122293','19584927'
'2013','Georgia','All Types of Cancer','461.3','457','465.6','47081','9981773'
'2013','Illinois','All Types of Cancer','464.2','460.6','467.8','66436','12890403'
'2013','Indiana','All Types of Cancer','457.9','452.9','462.9','33768','6567484'
'2013','Iowa','All Types of Cancer','467.1','460','474.3','17302','3089876'
'2013','Kansas','All Types of Cancer','463.2','455.7','470.9','14962','2892900'
'2013','Maine','All Types of Cancer','470.6','460.3','481.1','8478','1327975'
'2013','Maryland','All Types of Cancer','461.3','456','466.6','30491','5932654'
'2013','Massachusetts','All Types of Cancer','459.1','454.2','463.9','36280','6711138'
'2013','Minnesota','All Types of Cancer','458.6','453.1','464.1','28096','5416074'
'2013','Mississippi','All Types of Cancer','469.9','462.4','477.4','15768','2987721'
'2013','North Carolina','All Types of Cancer','470','465.9','474.1','52659','9849812'
'2013','Ohio','All Types of Cancer','462.3','458.7','466','64161','11567845'
'2013','South Carolina','All Types of Cancer','459','453.3','464.8','26031','4765862'
'2013','South Dakota','All Types of Cancer','467.7','453.9','481.9','4557','842513'
'2013','Tennessee','All Types of Cancer','463.9','459','468.9','35062','6490795'
'2013','West Virginia','All Types of Cancer','478.5','469.6','487.6','11673','1852333'
'2013','Wisconsin','All Types of Cancer','469.4','464.2','474.7','31744','5736673'
'2013','New Mexico','All Types of Cancer','377.6','369.7','385.7','9039','2085161'
'2013','Wyoming','All Types of Cancer','388.6','373.2','404.4','2553','582341'
'2013','Arizona','All Types of Cancer','389.3','384.8','393.9','29686','6616124'
