Year,Area,CancerType,AgeAdjustedRate,lci,uci,CaseCount,Population
'2000','Delaware','All Types of Cancer','516.9','501.2','532.9','4156','786373'
'2000','District of Columbia','All Types of Cancer','529.7','510.8','549.2','2965','572046'
'2000','Florida','All Types of Cancer','520.9','517.7','524.1','103627','16047515'
'2000','Hawaii','All Types of Cancer','418.5','407.3','430','5260','1213519'
'2000','Illinois','All Types of Cancer','493.4','489.5','497.4','59185','12434161'
'2000','Indiana','All Types of Cancer','481.3','475.7','486.8','28948','6091866'
'2000','Iowa','All Types of Cancer','485.5','477.9','493.2','15758','2929067'
'2000','Kentucky','All Types of Cancer','523.2','516.2','530.3','21362','4049021'
'2000','Louisiana','All Types of Cancer','493.9','487.2','500.7','20739','4471885'
'2000','Maine','All Types of Cancer','531.7','519.8','543.9','7598','1277072'
'2000','Maryland','All Types of Cancer','495.1','488.9','501.2','25116','5311034'
'2000','Massachusetts','All Types of Cancer','518.2','512.8','523.7','34462','6361104'
'2000','Michigan','All Types of Cancer','522.2','517.7','526.8','51218','9952450'
'2000','Mississippi','All Types of Cancer','null','null','null','Data Suppressed','null'
'2000','Montana','All Types of Cancer','499.2','485.2','513.6','4792','903773'
'2000','Nebraska','All Types of Cancer','485.5','475.3','496','8589','1713820'
'2000','Nevada','All Types of Cancer','512.8','502.4','523.4','9626','2018741'
'2000','New Hampshire','All Types of Cancer','507.5','494.9','520.3','6223','1239882'
'2000','New Jersey','All Types of Cancer','526','521.2','530.9','46119','8430621'
'2000','New Mexico','All Types of Cancer','420','410.4','429.8','7275','1821204'
'2000','New York','All Types of Cancer','502.5','499.4','505.7','97321','19001780'
'2000','Oregon','All Types of Cancer','497.2','489.8','504.6','17455','3429708'
'2000','Pennsylvania','All Types of Cancer','504.4','500.6','508.1','71385','12284173'
'2000','Rhode Island','All Types of Cancer','539.7','526.2','553.4','6166','1050268'
'2000','South Dakota','All Types of Cancer','null','null','null','Data Suppressed','null'
'2000','Vermont','All Types of Cancer','490.9','473.7','508.5','3099','609618'
'2000','Washington','All Types of Cancer','506.7','500.8','512.7','28085','5910512'
'2000','West Virginia','All Types of Cancer','503.9','494.3','513.6','10628','1807021'
'2000','Wisconsin','All Types of Cancer','487.9','482.1','493.8','26743','5373999'
'2001','Alabama','All Types of Cancer','454.6','448.5','460.8','21084','4467634'
'2001','Arizona','All Types of Cancer','438.8','433.1','444.5','23240','5273477'
'2001','Arkansas','All Types of Cancer','457.7','449.9','465.5','13251','2691571'
'2001','Hawaii','All Types of Cancer','434.6','423.3','446.2','5591','1225948'
'2001','Wyoming','All Types of Cancer','457.4','438.5','476.9','2227','494657'
'2001','California','All Types of Cancer','467.1','464.6','469.5','142375','34479458'
'2001','Colorado','All Types of Cancer','470.6','463.7','477.7','17823','4425687'
'2001','Idaho','All Types of Cancer','470.1','458','482.4','5751','1319962'
'2001','Kansas','All Types of Cancer','464.1','456','472.2','12732','2702162'
'2001','Maryland','All Types of Cancer','476.2','470.3','482.2','24621','5374691'
'2001','Missouri','All Types of Cancer','478.4','472.9','484','28309','5641142'
'2001','North Carolina','All Types of Cancer','462.6','457.9','467.3','37385','8210122'
'2001','North Dakota','All Types of Cancer','465.7','449.8','482.1','3268','639062'
'2001','Oklahoma','All Types of Cancer','470.1','463.1','477.3','16859','3467100'
'2001','New York','All Types of Cancer','501.6','498.5','504.8','98156','19082838'
'2001','Ohio','All Types of Cancer','485.3','481.4','489.3','57658','11387404'
'2001','Oregon','All Types of Cancer','499.6','492.3','507','17854','3467937'
'2001','Pennsylvania','All Types of Cancer','525','521.2','528.8','74693','12298970'
'2001','Rhode Island','All Types of Cancer','535.5','522.1','549.1','6170','1057142'
'2001','South Carolina','All Types of Cancer','487.5','480.7','494.4','19782','4064995'
'2001','South Dakota','All Types of Cancer','485','469.9','500.5','3953','757972'
'2001','Texas','All Types of Cancer','487.3','484.1','490.6','87590','21319622'
'2001','Vermont','All Types of Cancer','499.9','482.7','517.5','3210','612223'
'2001','Washington','All Types of Cancer','520.2','514.2','526.2','29380','5985722'
'2001','West Virginia','All Types of Cancer','516.2','506.6','526','10963','1801481'
'2001','Wisconsin','All Types of Cancer','506.9','501','512.9','28109','5406835'
'2001','Tennessee','All Types of Cancer','400.8','395.7','406','23404','5750789'
'2001','Alaska','All Types of Cancer','516.5','493','540.7','2187','633714'
'2001','Connecticut','All Types of Cancer','531.8','524.4','539.3','19632','3432835'
'2001','Delaware','All Types of Cancer','528','512.4','544.1','4325','795699'
'2001','District of Columbia','All Types of Cancer','518','499.3','537.2','2917','574504'
'2001','Florida','All Types of Cancer','520.6','517.4','523.8','105356','16356966'
'2001','Georgia','All Types of Cancer','483.8','478.6','489','34522','8377038'
'2001','Illinois','All Types of Cancer','503.8','499.8','507.8','60929','12488445'
'2001','Indiana','All Types of Cancer','498.3','492.7','504','30274','6127760'
'2001','Iowa','All Types of Cancer','496.1','488.4','503.8','16227','2931997'
'2001','Kentucky','All Types of Cancer','531.7','524.7','538.8','21910','4068132'
'2001','Louisiana','All Types of Cancer','504.9','498.2','511.7','21427','4477875'
'2001','Maine','All Types of Cancer','541.8','529.9','554','7859','1285692'
'2001','Massachusetts','All Types of Cancer','526.1','520.6','531.7','35241','6397634'
'2001','Michigan','All Types of Cancer','522.5','518','527','51811','9991120'
'2001','Minnesota','All Types of Cancer','491','484.8','497.4','23702','4982796'
'2001','Mississippi','All Types of Cancer','null','null','null','Data Suppressed','null'
'2001','Montana','All Types of Cancer','512.2','498.1','526.7','5002','906961'
'2001','Nebraska','All Types of Cancer','485.6','475.4','496','8675','1719836'
'2001','Nevada','All Types of Cancer','501.6','491.5','511.7','9883','2098399'
'2001','New Hampshire','All Types of Cancer','521.9','509.3','534.8','6520','1255517'
'2001','New Jersey','All Types of Cancer','546.9','542','551.8','48400','8492671'
'2001','New Mexico','All Types of Cancer','432.8','423.2','442.6','7674','1831690'
'2001','Utah','All Types of Cancer','419.7','409.8','429.7','7013','2283715'
'2001','Virginia','All Types of Cancer','421.7','416.9','426.6','29050','7198362'
'2002','New Mexico','All Types of Cancer','434.3','424.8','444.1','7893','1855309'
'2002','Virginia','All Types of Cancer','434.2','429.3','439.1','30622','7286873'
'2002','Wyoming','All Types of Cancer','444.1','425.7','463.1','2224','500017'
'2002','Alabama','All Types of Cancer','456.1','450','462.3','21416','4480089'
'2002','Arkansas','All Types of Cancer','452.6','444.9','460.3','13275','2705927'
'2002','North Carolina','All Types of Cancer','460','455.3','464.6','38118','8326201'
'2002','North Dakota','All Types of Cancer','469.9','453.9','486.3','3319','638168'
'2002','Oklahoma','All Types of Cancer','478.3','471.2','485.5','17352','3489080'
'2002','California','All Types of Cancer','462.6','460.3','465.1','144045','34871843'
'2002','Colorado','All Types of Cancer','463','456.2','469.9','17980','4490406'
'2002','Idaho','All Types of Cancer','475','463','487.2','5968','1340372'
'2002','Kansas','All Types of Cancer','462.6','454.6','470.7','12827','2713535'
'2002','Missouri','All Types of Cancer','478.2','472.7','483.8','28646','5674825'
