YEAR,STATE_ABBR,AVG_REL_EST_AIR_STACK,AVG_REL_EST_ENERGY_RECOVERY,AVG_REL_EST_RECYCLING,AVG_REL_EST_OTH_DISP,AVG_REL_EST_POTW_NON_METALS,AVG_REL_EST_WATER,AVG_REL_EST_SURF_IMP,AVG_REL_EST_UNINJ_IIV,AVG_REL_EST_AIR_FUG,AVG_REL_EST_LAND_TREA,AVG_REL_EST_WASTE_TREATMENT,AVG_REL_EST_OTH_LANDF,AVG_REL_EST_RCRA_C,AVG_REL_EST_TOTAL_ON_OFFSITE_RELEASE,AVG_REL_EST_UNINJ_I,AVG_REL_EST_SI_5.5.3B,AVG_REL_EST_TOTAL_ONSITE_RELEASE,AVG_REL_EST_SI_5.5.3A,AVG_REL_EST_POTW_RELEASE,AVG_REL_EST_POTW_TREATMENT,AVG_REL_EST_TOTAL,AGE_ADJUSTED_CANCER_RATE
2009,PA,21194.83151,30237.79263,83994.43271,35916.26012,58260.4824,11202.06651,,,1911.155492,8021.376517,26189.17396,59247.94824,,,,37486.69116,,6.433333333,,,373668.6446,509.7
2009,PR,16357.23539,606293.5852,184211.903,2883.8,59029.2265,16.34851852,,,6031.345777,,176261.7822,,,,,,,,,,1051085.227,
2009,RI,905.6952861,13190.93478,73479.44829,,30426.39971,24.75956036,,,607.1436756,,3608.524429,,,,,,,,,,122242.9057,514.4
2009,SC,22290.51965,54137.49881,205180.0112,12633.50867,49947.34627,8777.295538,,,6382.53755,27427.46501,46157.60117,47496.33349,117.5,,,35421.50886,,,,,515969.1262,473.2
2009,SD,5365.057412,3790,9877.856703,3367.754545,21394.25,60819.27143,,27.5,4396.142381,,9124.250825,128663.7086,,,,1797.311,,,,,248623.1029,469.5
2009,TN,21705.36693,29714.65571,158468.061,4282.483321,27639.22903,7559.357791,,,6967.587257,118.825,16761.82705,151703.9142,1095.040293,,,246370.5311,,,,,672386.8787,492.3
2009,TX,8256.718486,72545.08771,93066.32647,3065.311771,154876.0934,10382.10795,,1121.837525,5137.657617,27410.61894,68725.80479,77699.09877,31192.92817,,198892.3512,35786.09279,,12.25,,,788170.2856,448.3
2009,UT,11561.55375,3260.867727,65625.6733,332539.1999,43837.26924,1653.379053,,,3395.717786,6810.242667,15623.57327,80214.0569,85435.57143,,,1401433.121,,,,,2051390.226,421.3
2009,VA,28624.12429,48906.61826,56995.73213,14335.66763,357690.7884,69311.42742,,,5260.831722,4083.5225,12412.76472,25800.63795,,,,38926.18043,,,,,662348.2954,459.5
2009,VI,7863.144847,,13421.10721,6.189333333,,18857.55596,,,2450.754545,2213.083333,1490.528448,,,,,,,,,,46302.36368,
2009,VT,317.1388457,1422.438342,21369.02744,3550.65,321016.34,29569,,,516.1374907,,7657.193238,,,,,,,,,,385417.9254,500
2009,WA,9312.351004,15566.43398,53955.58178,7532.52198,105273.158,8898.888165,,,2584.886189,7900.298958,9304.887788,67618.17013,12240.1,,,120769.5173,,,,,420956.7952,491.8
2009,WI,9165.744917,52955.93502,58322.36773,19029.60783,61774.18419,10161.72619,,,1310.759405,33587.75,41233.01586,11431.40601,,,,985.0730833,,57698.5,,,357656.0702,480.3
2009,WV,39962.99927,36698.56914,229710.8335,228.3453731,107814.0176,5818.112941,,,2882.184509,17255.87778,41550.21154,59940.85138,1185.2,,,32602.58894,,,,,575649.7919,491.9
2009,WY,6616.213547,86.28695652,10450.65357,1156.311429,7025.375,609.9375949,,,3352.605617,101.9198518,2966.1975,205682.1888,,,3094000,41389.03106,,,,,3373436.721,427.8
2010,AK,723.0393668,251.8333333,4144.211167,8849644.508,21.432,3882.801286,,,3076.787881,,9.215319149,22201.88636,,,,11251944.16,,,,,20135899.87,469.7
